X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
406901.8873,136078.306499999,25143193,2025/09/19 10:18:19+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,200 - 299 BLOCK OF 56TH PLACE NE,406901.887300358,136078.306491711,7,7C,6,608,Cluster 31,007808 3,007808,Precinct 96,38.892523035,-76.9204420411,,2025/09/19 09:12:00+00,2025/09/19 10:06:00+00,807495016,
401747.939999998,136474.120000001,25144183,2025/09/21 01:44:11+00,EVENING,OTHERS,ROBBERY,1700 - 1799 BLOCK OF E STREET NE,401747.94,136474.12,7,7D,5,507,Cluster 25,007901 1,007901,Precinct 81,38.8961140235,-76.9798505081,,2025/09/21 00:59:00+00,2025/09/21 01:44:00+00,807495017,
397577.630000003,143785.940000001,25144687,2025/09/22 00:36:28+00,EVENING,OTHERS,THEFT/OTHER,5900 - 5999 BLOCK OF GEORGIA AVENUE NW,397577.63,143785.94,4,4B,4,402,Cluster 17,001901 1,001901,Precinct 58,38.9619795615,-77.0279498335,,2025/09/21 23:01:00+00,2025/09/21 23:15:00+00,807495018,
399027.369999997,137425.390000001,25423874,2025/09/04 19:32:05+00,EVENING,OTHERS,THEFT/OTHER,1 - 99 BLOCK OF BANNER LANE NW,399027.37,137425.39,6,6E,1,102,Cluster 8,004704 1,004704,Precinct 1,38.9046846037,-77.0112134026,,2025/08/30 18:55:00+00,2025/08/31 16:25:00+00,807495064,
398943.608400002,133729.350000001,25143280,2025/09/19 14:52:22+00,DAY,OTHERS,THEFT/OTHER,1500 - 1599 BLOCK OF 1ST STREET SW,398943.608380973,133729.349977531,6,6D,1,105,Cluster 9,006400 2,006400,Precinct 127,38.8713891837,-77.0121734039,,2025/09/18 18:32:00+00,2025/09/19 15:00:00+00,807495065,
400332.460000001,136928.050000001,25143429,2025/09/19 19:01:59+00,EVENING,OTHERS,THEFT/OTHER,H STREET NE AND 7TH STREET NE,400332.45999826,136928.0500125,6,6C,1,104,Cluster 25,008302 2,008302,Precinct 83,38.900204864,-76.996167326,,2025/09/19 17:30:00+00,2025/09/19 17:38:00+00,807495066,
396230.990000002,137427.940000001,25144015,2025/09/20 18:46:01+00,DAY,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF 19TH STREET NW,396230.99,137427.94,2,2C,2,207,Cluster 6,010700 1,010700,Precinct 17,38.9047000325,-77.0434527387,GOLDEN TRIANGLE,2025/09/20 15:50:00+00,2025/09/20 15:51:00+00,807495067,
393645.649999999,140765.550000001,25144897,2025/09/22 15:10:22+00,DAY,OTHERS,THEFT/OTHER,3700 - 3749 BLOCK OF NEWARK STREET NW,393645.65,140765.55,3,3A,2,204,Cluster 14,001002 4,001002,Precinct 29,38.934751414,-77.0732898841,,2025/09/22 13:36:00+00,2025/09/22 14:30:00+00,807495068,
398010.079999998,138818.940000001,25143475,2025/09/19 20:23:59+00,EVENING,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF 8TH STREET NW,398010.08,138818.94,1,1B,3,305,Cluster 3,003500 3,003500,Precinct 37,38.917236462,-77.0229457261,,2025/09/19 19:40:00+00,2025/09/19 20:30:00+00,807495074,
397563.840000004,138186.629999999,25424099,2025/09/24 11:02:39+00,DAY,OTHERS,THEFT/OTHER,1600 - 1699 BLOCK OF 12TH STREET NW,397563.84,138186.63,2,2F,3,307,Cluster 7,005001 1,005001,Precinct 16,38.9115392782,-77.0280890665,,2025/09/22 18:10:00+00,2025/09/22 21:10:00+00,807495331,
